WorkshopSession.workshop_day,WorkshopSession.workshop_time,WorkshopSession.travel_time,WorkshopSession.workshop_id
2014-03-30,12:00:00,02:00:00,1
2014-03-30,02:00:00,08:00:00,1
2014-03-30,03:00:00,06:00:00,1
2014-04-04,04:00:00,05:00:00,4
2014-03-30,05:00:00,04:00:00,5
2014-11-30,06:00:00,01:00:00,6
2014-11-12,07:00:00,11:00:00,7
2014-09-26,08:00:00,12:00:00,8
2014-08-13,09:00:00,10:00:00,9
2014-09-28,10:00:00,01:00:00,10
2014-12-24,11:00:00,02:00:00,11
2014-05-12,12:00:00,03:00:00,12
2014-10-23,01:00:00,05:00:00,13
